A1,A2,A3,A4,A5,class
37.155139,2.742903,74.499477,20.6777,82.334652,3.4
68.05521,32.869958,43.820041,52.394418,92.971074,6.8
20.623985,9.611894,91.293101,90.628721,44.459922,3.4
90.599775,79.893121,93.567157,58.494732,85.167779,0
59.929007,48.170993,28.475921,61.117672,43.676106,3.4
0.471271,59.710461,5.010779,78.853875,82.216451,0
45.012585,21.781589,87.614527,34.350419,2.351234,3.4
83.918087,0.909123,11.382015,88.381827,12.41406,3.4
65.089612,94.603225,93.675997,82.733676,6.296787,0
4.710847,48.216749,88.188898,0.000451,45.109103,3.4
91.6055,60.415372,7.999543,26.01831,91.431269,0
42.042629,13.256401,16.487407,25.381285,30.189574,3.4
4.130648,46.50574,77.926101,61.076411,33.894738,0
34.632229,40.791298,85.82928,8.854454,47.907654,6.8
47.931671,95.464068,38.964178,10.288446,20.352786,2.5
89.071013,18.518088,63.438066,43.878641,43.381827,3.4
91.314875,49.43467,53.843097,34.186304,94.634952,6.8
28.801453,54.686642,80.475441,69.435574,69.238681,0
59.56899,30.723338,70.360647,40.53409,95.361838,3.4
87.380259,8.478465,29.351025,81.765124,70.434374,3.4
12.101949,43.941286,59.793958,53.809919,96.612445,0
13.302346,14.512293,69.4046,92.899481,97.896239,3.4
9.643415,62.729269,95.845345,19.770118,27.566073,0
1.398032,59.22468,88.766049,87.209143,83.12713,0
81.455797,48.480381,94.486502,63.436055,97.831696,3.4
90.730575,65.167765,24.904549,19.175327,90.510115,0
48.459403,39.62428,34.304857,94.759735,71.074716,6.8
34.394147,24.261334,57.755868,16.199971,54.243306,3.4
19.942304,53.514875,49.517981,34.026205,71.601556,0
11.334275,5.329289,30.119021,88.616439,14.43984,0
49.815014,34.657094,50.990647,73.680087,45.614343,6.8
93.288072,90.251804,38.307359,52.143524,74.075684,0
86.719512,34.107324,9.462197,89.974132,32.56102,3.4
25.486392,69.996691,60.20337,65.618003,82.599206,0
62.058943,6.890567,87.679397,97.196025,91.853505,3.4
22.503308,42.691611,31.592447,16.54406,10.885168,3.4
45.338862,4.011598,49.954791,0.114516,18.492779,10.2
10.521583,94.610778,48.942517,19.221813,58.888615,0
29.075592,20.226453,7.367451,42.888911,17.923113,3.4
74.559684,38.135531,16.970131,53.184495,45.209692,3.4
40.717506,40.625708,80.740165,91.510797,78.64777,3.4
49.443202,12.880561,92.018336,74.419671,75.510319,3.4
79.138321,31.016191,20.824168,83.710027,21.498456,3.4
52.379777,94.54156,12.408761,97.221985,3.331693,0
33.708062,7.139417,12.772434,67.287437,40.495451,3.4
14.103468,75.713453,89.773724,22.183389,56.664215,0
17.949773,34.312112,89.770447,52.47579,13.312571,3.4
66.195793,91.861254,41.490277,85.244289,51.247543,0
73.383613,85.807866,76.216779,73.932048,13.630805,0
71.18267,29.520596,24.605848,16.190746,86.969527,3.4
16.192201,79.22349,94.515037,86.394661,25.099657,0
96.478419,21.197373,32.255828,22.586371,87.142478,3.4
86.472162,14.505191,79.576346,68.277934,42.010643,3.4
85.640824,58.67324,1.031139,89.783159,97.430392,0
51.539558,24.877093,12.57269,38.213251,57.721069,3.4
43.469336,32.66612,63.874812,0.085561,87.659713,6.8
28.316125,87.559706,79.173882,79.787794,33.758033,0
43.28796,79.015168,49.999788,97.882273,66.860967,0
50.337028,10.142018,79.104635,43.791812,13.605378,3.4
73.684165,9.542773,58.467065,43.957544,21.16262,3.4
70.298926,41.344861,22.846105,49.79445,81.46518,3.4
51.716746,67.089915,13.197701,25.408998,52.408391,0
75.032621,52.563759,89.963185,29.766955,61.637858,0
44.162886,39.335807,87.38056,89.604334,39.72394,3.4
94.872068,95.197922,41.962743,56.014662,35.24147,0
7.063929,23.12053,77.85893,6.190037,69.159543,3.4
19.94931,74.862618,63.68879,29.432081,2.263708,0
96.279802,61.126047,23.824627,92.919283,0.736239,0
31.132546,58.960903,91.761115,97.937194,5.694753,0
32.914656,94.783491,28.021855,64.403232,35.790231,0
10.11513,80.886701,99.999186,50.063681,35.823161,0
62.58539,42.823862,26.981406,31.033114,48.822871,3.4
91.341813,49.785975,81.490975,26.59653,54.600432,3.4
7.136433,33.447335,14.197452,24.3046,90.813075,0
45.622532,67.069911,59.126713,0.644306,88.015612,0
22.437449,81.938671,86.565837,98.44883,9.138999,0
61.843961,82.820193,92.993304,50.778707,77.204224,0
92.527104,14.800403,20.078244,33.296194,62.203023,3.4
97.367249,60.230561,38.801315,45.280672,12.893739,0
75.089162,29.021634,91.277193,74.142303,4.187233,3.4
60.532142,12.982103,59.090579,40.865943,91.920978,3.4
77.88393,31.671074,22.201584,8.335438,42.027068,6.8
39.020765,17.956236,43.743076,94.588007,75.917531,6.8
72.436838,4.133605,9.682823,20.459221,7.932734,3.4
97.328697,8.265385,61.545021,81.311895,30.633242,3.4
17.448444,58.347723,96.391142,46.252943,77.177438,0
94.719425,13.855912,26.21963,84.909436,17.352052,3.4
67.790229,13.506988,87.797377,75.518001,93.287697,3.4
64.085869,28.852371,12.345189,93.149511,65.859746,3.4
28.654488,92.834562,23.335604,34.737239,37.405145,0
92.207157,56.620245,25.540104,23.46182,9.671634,0
91.81352,76.011442,73.968503,17.332128,11.945328,0
35.880315,70.792947,1.710187,58.9686,19.755331,0
70.70444,6.233443,84.823747,62.561219,62.573435,3.4
37.047589,59.116324,49.298756,96.347128,51.637149,0
62.195192,37.099881,78.65261,9.994389,69.078561,6.8
86.866167,8.101963,31.454694,34.460442,74.220301,3.4
79.721298,66.820569,21.940224,55.066567,22.398371,0
65.025388,81.653205,19.747782,45.841116,86.34188,0
69.640151,81.602482,64.262014,90.01927,19.57896,0
10.667637,32.850978,3.236895,22.911851,41.338525,0
80.071986,60.391005,46.936487,53.988797,43.916413,0
86.985402,22.089715,54.870228,23.468663,90.77542,6.8
59.437687,56.05299,38.487328,14.318742,17.296339,0
87.733726,49.177797,97.715326,21.941307,58.930103,3.4
25.929854,98.072767,61.526572,19.396937,74.516503,0
